Inventarisnr.;;Inv.srt,Omschrijving,Straat,Thv,Deelgem.;Mutdatum
FT280,FT,Fietstrommel,KL COOLSTR,11,Noord,7-6-2009
FT281,FT,Fietstrommel,SCHIEKD,764,Noord,13-7-2010
FT282,FT,Fietstrommel,SCHIEKD,42,Noord,13-7-2010
FT283,FT,Fietstrommel,NOORDSNGL,160,Noord,13-7-2010
FT284,FT,Fietstrommel,BERGWG,270,Noord,7-6-2009
FT285,FT,Fietstrommel,BERGWG,265,Noord,13-7-2010
FT286,FT,Fietstrommel,BESEMERSTR,12,Noord,13-7-2010
FT287,FT,Fietstrommel,G SCHOLTENSTR,80,Noord,7-6-2009
FT288,FT,Fietstrommel,WILLEBRORDUSSTR,168,Noord,7-6-2009
FT289,FT,Fietstrommel,BERGSNGL,133,Noord,7-6-2009
FT29,FT,Fietstrommel,ROCHUSSENSTR,101,Centrum,6-7-2010
FT290,FT,Fietstrommel,DE S LOHMANLN,90,Noord,13-7-2010
FT291,FT,Fietstrommel,BERGSNGL,96,Noord,7-6-2009
FT292,FT,Fietstrommel,GORDELWG,133,Noord,13-7-2010
FT293,FT,Fietstrommel,GORDELWG,133,Noord,7-6-2009
FT294,FT,Fietstrommel,GORDELWG,133,Noord,13-7-2010
FT295,FT,Fietstrommel,GORDELWG,123,Noord,13-7-2010
FT296,FT,Fietstrommel,GORDELWG,123,Noord,13-7-2010
FT297,FT,Fietstrommel,GORDELWG,123,Noord,7-6-2009
FT298,FT,Fietstrommel,BERKELSELN, 89/91,Noord,7-6-2009
FT299,FT,Fietstrommel,RODENRYSELN,37,Noord,13-7-2010
FT3,FT,Fietstrommel,ESSENBURGSNGL,15A,Delfshaven,6-7-2010
FT30,FT,Fietstrommel,ROCHUSSENSTR,107,Centrum,7-6-2009
FT300,FT,Fietstrommel,BERKELSELN,44,Noord,13-7-2010
FT301,FT,Fietstrommel,GORDELWG,104,Noord,13-7-2010
FT302,FT,Fietstrommel,GORDELWG,104,Noord,7-6-2009
FT303,FT,Fietstrommel,GORDELWG,104,Noord,7-6-2009
